donation_ct,volume,is_zero_duration,avg_vol_per_ct
12,3000,0,250.0
7,1750,0,250.0
1,250,1,1.0
11,2750,0,250.0
12,3000,0,250.0
21,5250,0,249.99999999999994
2,500,1,1.0
1,250,1,1.0
2,500,0,250.0
4,1000,0,250.0
3,750,0,250.0
7,1750,0,249.99999999999997
11,2750,0,250.0
1,250,1,1.0
4,1000,0,249.99999999999994
1,250,1,1.0
6,1500,0,250.0
14,3500,0,249.99999999999991
14,3500,0,250.0
4,1000,0,249.99999999999997
7,1750,0,250.0
6,1500,0,250.0
7,1750,0,250.0
1,250,1,1.0
3,750,0,249.99999999999994
14,3500,0,249.99999999999994
2,500,0,250.00000000000006
1,250,1,1.0
3,750,0,250.0
12,3000,0,250.0
14,3500,0,249.99999999999997
7,1750,0,250.00000000000003
1,250,1,1.0
7,1750,0,250.0
2,500,0,250.0
7,1750,0,250.0
2,500,0,250.0
1,250,1,1.0
6,1500,0,250.0
1,250,1,1.0
2,500,0,250.0
6,1500,0,250.0
6,1500,0,249.99999999999997
5,1250,0,250.00000000000006
3,750,0,249.99999999999997
1,250,1,1.0
4,1000,0,250.0
3,750,0,250.00000000000003
1,250,1,1.0
5,1250,0,250.00000000000006
14,3500,0,250.0
24,6000,0,249.99999999999997
4,1000,0,250.00000000000006
6,1500,0,249.99999999999994
2,500,0,250.00000000000003
8,2000,0,249.99999999999997
7,1750,0,249.99999999999994
5,1250,0,250.00000000000006
4,1000,0,249.99999999999997
15,3750,0,250.00000000000006
1,250,1,1.0
2,500,0,250.00000000000003
15,3750,0,249.99999999999997
13,3250,0,250.00000000000003
2,500,0,250.00000000000003
2,500,0,249.99999999999994
4,1000,0,250.00000000000003
16,4000,0,249.99999999999991
10,2500,0,250.0
1,250,1,1.0
5,1250,0,250.00000000000006
4,1000,0,250.00000000000003
1,250,1,1.0
1,250,1,1.0
4,1000,0,250.00000000000003
7,1750,0,250.0
3,750,0,250.0
11,2750,0,249.99999999999994
4,1000,0,250.00000000000006
5,1250,0,250.00000000000006
1,250,1,1.0
11,2750,0,250.0
2,500,0,250.00000000000006
2,500,0,250.0
14,3500,0,250.0
1,250,1,1.0
1,250,1,1.0
2,500,0,250.0
16,4000,0,249.99999999999991
4,1000,0,249.99999999999994
1,250,1,1.0
2,500,0,250.00000000000003
3,750,0,249.99999999999997
2,500,1,1.0
11,2750,0,249.99999999999997
11,2750,0,249.99999999999994
5,1250,0,250.0
12,3000,0,250.00000000000003
8,2000,0,249.99999999999997
2,500,1,1.0
1,250,1,1.0
6,1500,0,250.00000000000003
3,750,0,250.0
5,1250,0,250.00000000000006
2,500,0,250.0
4,1000,0,250.00000000000006
16,4000,0,250.00000000000009
10,2500,0,250.00000000000006
1,250,1,1.0
3,750,0,250.0
2,500,0,250.00000000000003
1,250,1,1.0
7,1750,0,250.00000000000003
8,2000,0,250.0
11,2750,0,250.0
3,750,0,250.0
1,250,1,1.0
7,1750,0,250.0
16,4000,0,250.00000000000006
2,500,0,249.99999999999997
6,1500,0,250.00000000000003
9,2250,0,250.0
4,1000,0,250.00000000000006
26,6500,0,250.0
10,2500,0,250.0
16,4000,0,250.0
6,1500,0,250.00000000000003
2,500,1,1.0
4,1000,0,250.00000000000006
2,500,1,1.0
5,1250,0,250.0
1,250,1,1.0
3,750,0,250.0
1,250,1,1.0
7,1750,0,250.0
2,500,1,1.0
1,250,1,1.0
3,750,0,249.99999999999991
13,3250,0,249.99999999999994
12,3000,0,250.0
34,8500,0,249.99999999999997
1,250,1,1.0
2,500,0,250.00000000000006
7,1750,0,249.99999999999994
1,250,1,1.0
1,250,1,1.0
3,750,0,250.0
5,1250,0,250.0
3,750,0,249.99999999999997
1,250,1,1.0
2,500,0,250.0
9,2250,0,250.0
9,2250,0,250.0
6,1500,0,250.0
3,750,0,250.0
15,3750,0,250.0
1,250,1,1.0
1,250,1,1.0
24,6000,0,249.99999999999997
1,250,1,1.0
15,3750,0,249.99999999999997
1,250,1,1.0
6,1500,0,250.0
9,2250,0,250.0
3,750,0,250.0
3,750,0,249.99999999999997
2,500,0,250.00000000000006
14,3500,0,249.99999999999997
1,250,1,1.0
4,1000,0,249.99999999999997
1,250,1,1.0
1,250,1,1.0
1,250,1,1.0
41,10250,0,249.99999999999997
2,500,0,250.00000000000003
3,750,0,249.99999999999997
3,750,0,250.0
12,3000,0,250.0
2,500,0,249.99999999999997
1,250,1,1.0
1,250,1,1.0
5,1250,0,250.0
9,2250,0,250.0
1,250,1,1.0
16,4000,0,249.99999999999997
2,500,1,1.0
3,750,0,250.0
1,250,1,1.0
1,250,1,1.0
2,500,1,1.0
23,5750,0,250.00000000000003
3,750,0,250.0
2,500,1,1.0
2,500,0,250.00000000000003
7,1750,0,250.0
1,250,1,1.0
2,500,0,250.0
8,2000,0,250.00000000000006
2,500,0,250.0
11,2750,0,250.00000000000014
