"","Item_Weight","Item_Fat_ContentLow Fat","Item_Fat_ContentRegular","Item_Visibility","Item_TypeBaking Goods","Item_TypeBreads","Item_TypeBreakfast","Item_TypeCanned","Item_TypeDairy","Item_TypeFrozen Foods","Item_TypeFruits and Vegetables","Item_TypeHard Drinks","Item_TypeHealth and Hygiene","Item_TypeHousehold","Item_TypeMeat","Item_TypeOthers","Item_TypeSeafood","Item_TypeSnack Foods","Item_TypeSoft Drinks","Item_TypeStarchy Foods","Item_MRP","Outlet_Establishment_Year1985","Outlet_Establishment_Year1987","Outlet_Establishment_Year1997","Outlet_Establishment_Year1998","Outlet_Establishment_Year1999","Outlet_Establishment_Year2002","Outlet_Establishment_Year2004","Outlet_Establishment_Year2007","Outlet_Establishment_Year2009","Outlet_SizeOther","Outlet_SizeHigh","Outlet_SizeMedium","Outlet_SizeSmall","Outlet_Location_TypeTi","Outlet_Location_TypeTier 1","Outlet_Location_TypeTier 2","Outlet_Location_TypeTier 3","Outlet_TypeOther","Outlet_TypeGrocery Store","Outlet_TypeSupermarket Type1","Outlet_TypeSupermarket Type2","Outlet_TypeSupermarket Type3"
"1",9.3,1,0,0.016047301,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,249.8092,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"2",5.92,0,1,0.019278216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48.2692,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"3",17.5,1,0,0.016760075,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,141.618,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"4",19.2,0,1,0.054238448,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,182.095,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"5",8.93,1,0,0.054238448,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53.8614,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"6",10.395,0,1,0.054238448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4008,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"7",13.65,0,1,0.012741089,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57.6588,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"8",12.6,1,0,0.127469857,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,107.7622,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"9",16.2,0,1,0.016687114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96.9726,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"10",19.2,0,1,0.09444959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,187.8214,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"11",11.8,1,0,0.054238448,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45.5402,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"12",18.5,0,1,0.045463773,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.1102,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"13",15.1,0,1,0.1000135,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,145.4786,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"14",17.6,0,1,0.047257328,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,119.6782,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"15",16.35,1,0,0.0680243,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,196.4426,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"16",9,0,1,0.069088961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3614,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"17",11.8,1,0,0.008596051,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115.3492,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"18",9,0,1,0.069196376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.3614,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",12.6,1,0,0.034237682,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,113.2834,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"20",13.35,1,0,0.10249212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,230.5352,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"21",18.85,0,1,0.138190277,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,250.8724,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"22",12.6,0,1,0.035399923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.5444,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"23",14.6,1,0,0.025698134,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,196.5084,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"24",12.6,1,0,0.057556998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.6938,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"25",13.85,0,1,0.025896485,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,165.021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"26",13,1,0,0.099887103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45.906,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"27",7.645,0,1,0.066693437,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42.3112,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"28",11.65,1,0,0.019356132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39.1164,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"29",5.925,0,1,0.161466534,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.5086,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"30",12.6,0,1,0.072221801,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43.6454,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"31",19.25,1,0,0.170348551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55.7956,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"32",18.6,1,0,0.080829372,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96.4436,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"33",18.7,1,0,0.054238448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,256.6672,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"34",17.85,1,0,0.054238448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.1436,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"35",17.5,1,0,0.097904029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,174.8738,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
